frame,timestamp_sec,valid_ratio,depth_mean_mm,depth_std_mm,depth_min_mm,depth_max_mm,depth_p25_mm,depth_p75_mm
0,0.1334,0.0282,2677.8,1326.5,515,4892,1548.0,3850.0
1,0.2,0.0291,2642.1,1330.8,515,4892,1541.0,3845.0
2,0.2667,0.0289,2644.8,1342.8,515,4892,1540.0,3846.0
3,0.3334,0.03,2651.1,1319.2,515,4892,1545.0,3845.0
4,0.4001,0.0286,2667.6,1326.3,515,4892,1545.0,3847.0
5,0.4667,0.0296,2720.3,1324.4,515,4892,1551.0,3854.0
6,0.5334,0.0296,2672.1,1326.4,515,4892,1545.0,3848.0
7,0.6001,0.0301,2665.3,1323.2,515,4892,1545.0,3846.0
8,0.6667,0.0305,2677.6,1329.8,515,4892,1543.0,3849.0
9,0.7334,0.03,2673.5,1325.6,515,4892,1544.0,3847.0
10,0.8001,0.0299,2683.4,1339.4,515,4892,1542.0,3851.0
11,0.8667,0.0303,2663.1,1337.9,515,4892,1542.0,3849.0
12,0.9334,0.0308,2660.0,1321.0,515,4892,1546.0,3846.0
13,1.0001,0.0303,2659.0,1330.6,515,4892,1541.0,3846.0
14,1.0667,0.0316,2641.6,1326.5,515,4892,1542.0,3844.0
15,1.1334,0.0312,2680.2,1322.9,515,4892,1547.0,3849.0
16,1.2001,0.0312,2650.8,1334.3,515,4892,1541.0,3846.0
17,1.2667,0.0317,2634.4,1319.8,515,4892,1541.0,3844.0
18,1.3334,0.0313,2649.4,1323.5,515,4892,1542.0,3846.0
19,1.4001,0.0314,2667.7,1329.6,515,4892,1544.0,3846.0
20,1.4667,0.0314,2655.0,1327.6,515,4892,1542.0,3846.0
21,1.5334,0.0318,2670.5,1334.8,515,4892,1542.0,3848.0
22,1.6001,0.0316,2645.1,1319.6,515,4892,1542.0,3845.0
23,1.6667,0.0321,2630.4,1332.7,515,4892,1540.0,3845.0
24,1.7334,0.0319,2604.0,1346.0,515,4892,1301.0,3845.0
25,1.8001,0.0314,2599.5,1308.8,515,4892,1540.0,3612.0
26,1.8667,0.0323,2626.1,1322.1,515,4892,1540.0,3845.0
27,1.9334,0.0321,2611.6,1321.5,515,4892,1540.0,3844.0
