frame,timestamp_sec,detected,nose_x,nose_y,nose_z,nose_vis,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_vis,left_eye_x,left_eye_y,left_eye_z,left_eye_vis,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_vis,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_vis,right_eye_x,right_eye_y,right_eye_z,right_eye_vis,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_vis,left_ear_x,left_ear_y,left_ear_z,left_ear_vis,right_ear_x,right_ear_y,right_ear_z,right_ear_vis,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_vis,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_vis,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_vis,left_index_x,left_index_y,left_index_z,left_index_vis,right_index_x,right_index_y,right_index_z,right_index_vis,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_vis,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
0,0.0,True,0.59947,0.25435,-0.18961,0.9992,0.59157,0.24734,-0.16964,0.9987,0.59513,0.24669,-0.1697,0.9983,0.60006,0.23612,-0.16973,0.9985,0.58118,0.24897,-0.18612,0.9988,0.57683,0.24955,-0.18614,0.9985,0.57252,0.25014,-0.18623,0.9987,0.5913,0.24683,-0.05672,0.996,0.56862,0.25116,-0.13092,0.999,0.59641,0.27314,-0.14542,0.9992,0.58686,0.27753,-0.16663,0.9995,0.60554,0.36051,0.06436,0.9994,0.53721,0.35382,-0.16717,0.9998,0.62695,0.4966,0.11503,0.5057,0.54437,0.52228,-0.19856,0.9651,0.63806,0.59819,0.04861,0.6517,0.59288,0.59774,-0.21449,0.8597,0.63536,0.63544,0.03098,0.6044,0.60466,0.63099,-0.24498,0.7749,0.6347,0.6225,0.00748,0.617,0.61213,0.6156,-0.25144,0.7691,0.63337,0.61253,0.03664,0.6109,0.60774,0.60462,-0.21565,0.7315,0.59833,0.63708,0.08438,0.9985,0.56488,0.63871,-0.08434,0.9988,0.60875,0.81528,0.11656,0.3508,0.5881,0.82703,-0.03537,0.8327,0.59967,0.96166,0.27235,0.522,0.58319,0.97506,0.12007,0.8324,0.5906,0.98687,0.2828,0.6694,0.5887,1.01311,0.13166,0.6231,0.63397,1.01057,0.21203,0.6153,0.62609,1.05107,0.03128,0.8069
1,0.0667,True,0.59584,0.2594,-0.17739,0.9992,0.5916,0.24733,-0.15765,0.9987,0.59512,0.24665,-0.1577,0.9983,0.59966,0.23972,-0.15773,0.9984,0.58142,0.24914,-0.17375,0.9987,0.57719,0.24989,-0.17377,0.9985,0.573,0.25071,-0.17384,0.9987,0.59122,0.24984,-0.05137,0.9958,0.57134,0.25313,-0.12258,0.9989,0.59794,0.27486,-0.13595,0.9991,0.58701,0.27866,-0.1562,0.9994,0.60523,0.35857,0.0716,0.9992,0.55494,0.36162,-0.16746,0.9997,0.6276,0.49411,0.10746,0.4818,0.56065,0.51752,-0.20239,0.9579,0.63751,0.59317,0.03131,0.6296,0.60798,0.57916,-0.2079,0.8427,0.63807,0.62778,0.01715,0.5849,0.61971,0.60821,-0.23556,0.7588,0.63361,0.6189,-0.001,0.5965,0.6251,0.59314,-0.23704,0.7524,0.63251,0.61091,0.02143,0.5901,0.61969,0.58369,-0.20694,0.7144,0.59773,0.6338,0.08483,0.9983,0.57065,0.63317,-0.08479,0.9985,0.60506,0.81092,0.11076,0.3546,0.59693,0.81332,-0.03617,0.8386,0.59425,0.96186,0.20093,0.5336,0.61462,0.93981,0.09992,0.827,0.58541,0.98345,0.2049,0.674,0.60946,0.95739,0.11071,0.6205,0.62923,1.00925,0.14357,0.6215,0.65076,0.98983,0.03484,0.7997
2,0.1333,True,0.59602,0.26028,-0.17485,0.9992,0.5926,0.24674,-0.15522,0.9987,0.59565,0.2461,-0.15528,0.9983,0.59896,0.24191,-0.15532,0.9985,0.58426,0.24875,-0.17385,0.9987,0.58156,0.24955,-0.17387,0.9985,0.57904,0.25044,-0.17394,0.9987,0.593,0.25027,-0.04721,0.9959,0.57155,0.25463,-0.12726,0.9989,0.59951,0.27483,-0.13224,0.9991,0.58715,0.27864,-0.15603,0.9994,0.60682,0.35894,0.07253,0.9992,0.55511,0.36555,-0.17656,0.9997,0.62859,0.49078,0.11961,0.4895,0.55802,0.51821,-0.21075,0.9586,0.6405,0.59312,0.05005,0.6293,0.60763,0.59204,-0.20848,0.8424,0.64801,0.62496,0.03298,0.5829,0.61951,0.62488,-0.23703,0.7577,0.63799,0.61866,0.01093,0.5946,0.62661,0.61114,-0.2398,0.751,0.63545,0.61093,0.03809,0.5884,0.6217,0.60046,-0.20737,0.7122,0.59819,0.63363,0.08676,0.9984,0.56995,0.63333,-0.08674,0.9986,0.61244,0.81097,0.12144,0.3464,0.59561,0.81519,-0.03144,0.8344,0.59867,0.96179,0.2728,0.5168,0.60336,0.97763,0.12266,0.8218,0.5927,0.98596,0.28394,0.6597,0.60151,0.99418,0.13488,0.6157,0.6311,0.99141,0.22088,0.6077,0.64255,1.01884,0.04442,0.7951
3,0.2,True,0.59629,0.25955,-0.14201,0.9992,0.59464,0.24513,-0.12469,0.9987,0.59701,0.24465,-0.12474,0.9983,0.599,0.24206,-0.12477,0.9985,0.5885,0.24661,-0.14278,0.9987,0.5843,0.2478,-0.1428,0.9985,0.58173,0.24903,-0.14286,0.9986,0.59298,0.25058,-0.02929,0.996,0.57399,0.25462,-0.11118,0.9989,0.60017,0.27406,-0.10467,0.9991,0.58934,0.27705,-0.12829,0.9994,0.60711,0.35927,0.07405,0.9992,0.55998,0.3648,-0.16447,0.9996,0.62865,0.48974,0.10759,0.4755,0.56319,0.49715,-0.23622,0.9502,0.6418,0.59233,0.04508,0.6188,0.61229,0.54869,-0.28218,0.8244,0.64627,0.62258,0.0329,0.5754,0.62418,0.5758,-0.31394,0.7435,0.63594,0.61823,0.01063,0.5865,0.62959,0.56109,-0.31037,0.7359,0.63486,0.60887,0.0343,0.5807,0.62434,0.5524,-0.28074,0.6962,0.59819,0.62659,0.08436,0.9983,0.57213,0.62477,-0.08429,0.9984,0.60894,0.7939,0.10179,0.3668,0.59804,0.79492,-0.03677,0.8427,0.59312,0.96189,0.16858,0.5417,0.62463,0.89964,0.09477,0.8174,0.58575,0.98196,0.17041,0.6745,0.62082,0.91067,0.10576,0.6135,0.63029,1.00227,0.10714,0.6252,0.66011,0.94534,0.04262,0.7884
4,0.2667,True,0.60202,0.2595,-0.15082,0.9992,0.60024,0.24513,-0.1293,0.9988,0.60085,0.24468,-0.12944,0.9984,0.60127,0.24336,-0.12956,0.9986,0.59397,0.24657,-0.14632,0.9988,0.5894,0.24775,-0.14636,0.9986,0.58662,0.24897,-0.14657,0.9987,0.59591,0.25134,-0.04751,0.9963,0.57768,0.25528,-0.12812,0.9989,0.60268,0.27395,-0.11304,0.9992,0.59415,0.27682,-0.13678,0.9994,0.60797,0.36293,0.0629,0.9992,0.56288,0.37476,-0.16722,0.9996,0.62883,0.49195,0.1005,0.473,0.56138,0.52742,-0.21485,0.9531,0.64204,0.59216,0.01824,0.6197,0.61079,0.61669,-0.25387,0.8341,0.64545,0.62252,0.00286,0.5755,0.62265,0.65311,-0.2892,0.7554,0.63753,0.6158,-0.0149,0.5859,0.63152,0.63747,-0.27497,0.7478,0.63583,0.608,0.00849,0.5783,0.62637,0.62432,-0.24598,0.7085,0.59784,0.62892,0.08236,0.9983,0.57656,0.62796,-0.08236,0.9984,0.61213,0.79437,0.10485,0.3655,0.60869,0.79814,-0.01564,0.8461,0.59259,0.94964,0.20881,0.531,0.62211,0.93502,0.10077,0.8171,0.58375,0.97716,0.21509,0.661,0.61642,0.95432,0.11077,0.617,0.6241,0.99692,0.13961,0.6156,0.65674,0.96067,0.04202,0.7855
5,0.3333,True,0.60235,0.26159,-0.15779,0.9992,0.60051,0.24614,-0.13799,0.9987,0.60088,0.24576,-0.13808,0.9983,0.60124,0.24549,-0.13814,0.9985,0.59439,0.24728,-0.15395,0.9987,0.58962,0.24825,-0.15399,0.9984,0.58669,0.24932,-0.15413,0.9986,0.59573,0.25277,-0.04554,0.996,0.57722,0.25631,-0.1337,0.9989,0.60252,0.27666,-0.11844,0.9991,0.59408,0.27971,-0.14119,0.9994,0.60844,0.36384,0.06524,0.9992,0.56356,0.37385,-0.17872,0.9996,0.62699,0.49142,0.10088,0.4731,0.56427,0.52756,-0.21284,0.9509,0.64131,0.59221,0.01893,0.6115,0.61483,0.611,-0.2053,0.822,0.64505,0.62267,0.00783,0.5673,0.62646,0.64576,-0.23424,0.7413,0.63909,0.6159,-0.01098,0.5776,0.63491,0.63051,-0.23459,0.7331,0.63561,0.60918,0.01025,0.571,0.62981,0.61825,-0.20336,0.694,0.59763,0.63099,0.08599,0.9981,0.57626,0.63165,-0.08598,0.9982,0.59976,0.8028,0.13241,0.3507,0.60714,0.82134,-0.02752,0.8366,0.58874,0.95706,0.27255,0.5121,0.60499,0.9714,0.10301,0.8076,0.58115,0.99248,0.28207,0.6449,0.60755,1.01156,0.11334,0.6098,0.6229,1.01069,0.22277,0.5956,0.64601,1.04225,0.03439,0.773
6,0.4,True,0.60226,0.26144,-0.16454,0.9991,0.60021,0.2451,-0.14669,0.9985,0.59974,0.24477,-0.14674,0.9981,0.60037,0.2451,-0.14679,0.9983,0.59385,0.24638,-0.16915,0.9986,0.58905,0.24728,-0.16919,0.9983,0.58611,0.2484,-0.16929,0.9985,0.59252,0.25271,-0.05203,0.9957,0.57634,0.25612,-0.15317,0.9988,0.60166,0.27625,-0.12522,0.999,0.59381,0.27939,-0.15451,0.9993,0.60777,0.36381,0.0622,0.9992,0.56265,0.37371,-0.2025,0.9996,0.61973,0.49508,0.09995,0.4552,0.56377,0.5287,-0.2244,0.9468,0.63633,0.58878,0.02538,0.5861,0.61459,0.6075,-0.19702,0.8014,0.62975,0.6235,0.01121,0.5448,0.62633,0.64161,-0.22315,0.7205,0.62929,0.61768,-0.00699,0.5547,0.63446,0.62717,-0.22373,0.7118,0.62964,0.60898,0.01479,0.5484,0.62907,0.6152,-0.19504,0.6733,0.59377,0.636,0.09074,0.998,0.57514,0.63979,-0.09073,0.9982,0.59572,0.8064,0.17292,0.3455,0.60271,0.8242,-0.00231,0.838,0.58779,0.95715,0.31509,0.5086,0.59478,0.97604,0.15263,0.8088,0.58126,0.98196,0.32521,0.6404,0.60221,1.00844,0.16542,0.6158,0.6227,1.00363,0.2723,0.5929,0.643,1.03679,0.08946,0.7741
7,0.4667,True,0.60229,0.26119,-0.13866,0.999,0.60005,0.24475,-0.12226,0.9985,0.5992,0.24439,-0.12232,0.9981,0.59936,0.2449,-0.12237,0.9983,0.59344,0.24607,-0.14589,0.9985,0.58878,0.24689,-0.14592,0.9982,0.58585,0.24807,-0.14599,0.9985,0.59242,0.25263,-0.0302,0.9957,0.5749,0.2561,-0.14122,0.9987,0.60156,0.27598,-0.10124,0.999,0.59363,0.2793,-0.13206,0.9993,0.6077,0.36409,0.07095,0.9992,0.55971,0.37339,-0.18321,0.9996,0.62564,0.49576,0.11921,0.4466,0.548,0.51793,-0.22245,0.9395,0.63962,0.59405,0.05717,0.5777,0.59379,0.57628,-0.22908,0.7832,0.6358,0.62449,0.04477,0.5388,0.60541,0.6044,-0.2572,0.7055,0.63367,0.61969,0.02296,0.5489,0.61168,0.58732,-0.25834,0.6967,0.63356,0.61034,0.04625,0.5432,0.60694,0.57782,-0.22843,0.6566,0.59387,0.63824,0.09061,0.998,0.57228,0.64086,-0.0906,0.9981,0.59738,0.80906,0.15748,0.3437,0.60071,0.82343,-0.0089,0.8361,0.58831,0.9582,0.29187,0.5114,0.60413,0.97416,0.13977,0.8076,0.58136,0.98149,0.30052,0.6407,0.60232,0.99701,0.1512,0.6135,0.62111,0.99881,0.24749,0.5947,0.64297,1.03644,0.07271,0.7718
8,0.5333,True,0.60151,0.25915,-0.14678,0.9989,0.59892,0.24237,-0.12938,0.9983,0.59817,0.24225,-0.12943,0.9979,0.59795,0.24308,-0.12948,0.9982,0.59184,0.2434,-0.1499,0.9983,0.58773,0.24419,-0.14991,0.998,0.58284,0.2456,-0.14998,0.9983,0.58643,0.25196,-0.03241,0.9955,0.57236,0.25513,-0.14572,0.9985,0.60027,0.27449,-0.10788,0.9989,0.59235,0.2773,-0.13363,0.9992,0.60592,0.36455,0.06959,0.9991,0.55062,0.37365,-0.18815,0.9996,0.62565,0.49787,0.1173,0.428,0.54467,0.52127,-0.21278,0.9299,0.63971,0.59607,0.05326,0.5619,0.5941,0.57972,-0.19129,0.7596,0.63577,0.6277,0.04017,0.5264,0.60649,0.60927,-0.21623,0.6849,0.63358,0.62052,0.01884,0.5367,0.61301,0.59216,-0.21858,0.6762,0.63354,0.61058,0.04233,0.5311,0.60761,0.58205,-0.19044,0.6362,0.58718,0.64332,0.09019,0.9978,0.56246,0.64714,-0.09018,0.998,0.59488,0.81049,0.14873,0.3462,0.5933,0.82597,-0.01155,0.836,0.58832,0.96085,0.28209,0.5174,0.59946,0.97325,0.14661,0.8074,0.58111,0.98127,0.29113,0.6435,0.59083,0.98602,0.15997,0.6156,0.61907,1.00783,0.23342,0.6001,0.64123,1.03558,0.08262,0.7721
9,0.6,True,0.57814,0.27226,-0.16009,0.9984,0.57829,0.25019,-0.1455,0.9974,0.58093,0.25024,-0.14559,0.9968,0.58361,0.25082,-0.14566,0.9971,0.56953,0.24992,-0.16607,0.9975,0.5651,0.24972,-0.1661,0.997,0.56066,0.24979,-0.16622,0.9972,0.57847,0.25355,-0.05288,0.9937,0.55621,0.25562,-0.15041,0.9978,0.58521,0.27697,-0.1213,0.9981,0.57448,0.27928,-0.14738,0.9988,0.57623,0.36469,0.06785,0.9991,0.52873,0.37354,-0.19285,0.9995,0.59255,0.49975,0.12283,0.4074,0.52998,0.52942,-0.2134,0.9258,0.61404,0.59603,0.0728,0.5518,0.58269,0.59233,-0.19948,0.7537,0.62015,0.631,0.06348,0.5211,0.59589,0.62452,-0.22619,0.6814,0.62336,0.62093,0.03988,0.5318,0.60351,0.60415,-0.22681,0.6734,0.61462,0.61096,0.06145,0.5261,0.59763,0.594,-0.19828,0.6337,0.56033,0.64827,0.0915,0.9977,0.53751,0.65457,-0.09145,0.9978,0.59125,0.82312,0.14806,0.3408,0.58644,0.82577,-0.00723,0.83,0.58799,0.96194,0.26957,0.501,0.59033,0.96907,0.14133,0.796,0.58139,0.97995,0.27644,0.6324,0.58925,0.98621,0.1553,0.6137,0.62466,1.00782,0.23291,0.5813,0.6393,1.00683,0.07608,0.7599
