frame,timestamp_sec,person_id,nose_x,nose_y,nose_z,nose_vis,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_vis,left_eye_x,left_eye_y,left_eye_z,left_eye_vis,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_vis,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_vis,right_eye_x,right_eye_y,right_eye_z,right_eye_vis,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_vis,left_ear_x,left_ear_y,left_ear_z,left_ear_vis,right_ear_x,right_ear_y,right_ear_z,right_ear_vis,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_vis,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_vis,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_vis,left_index_x,left_index_y,left_index_z,left_index_vis,right_index_x,right_index_y,right_index_z,right_index_vis,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_vis,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis,side
0,0.0,0,0.35171,0.28854,-0.09256,1.0,0.35412,0.27808,-0.08513,1.0,0.35364,0.27713,-0.08511,1.0,0.35298,0.27585,-0.08508,1.0,0.35391,0.27755,-0.1073,1.0,0.35332,0.27629,-0.10733,1.0,0.35254,0.27469,-0.10735,1.0,0.34437,0.26584,-0.03862,1.0,0.34362,0.26401,-0.14153,1.0,0.34617,0.29278,-0.07261,1.0,0.34566,0.29131,-0.10255,1.0,0.32545,0.30797,0.02468,1.0,0.30583,0.27875,-0.16241,1.0,0.31664,0.37207,0.07069,0.6648,0.26431,0.32343,-0.20144,0.998,0.33787,0.42193,0.03294,0.9481,0.28353,0.39385,-0.22752,0.9963,0.34255,0.43669,0.0284,0.9292,0.28218,0.41868,-0.24805,0.9926,0.34337,0.43572,0.00821,0.9371,0.28783,0.41758,-0.24801,0.9921,0.34216,0.43126,0.02308,0.9196,0.28936,0.41039,-0.22686,0.9839,0.30019,0.43252,0.06377,0.9991,0.28479,0.42944,-0.06374,0.9999,0.3129,0.52368,0.12213,0.7746,0.30208,0.53411,-0.09361,0.9948,0.30085,0.61238,0.20582,0.8435,0.27527,0.64559,-0.08293,0.9945,0.29213,0.6247,0.21099,0.8208,0.26396,0.66364,-0.08585,0.9737,0.3274,0.63341,0.18265,0.9156,0.29491,0.68204,-0.14754,0.9919,left
1,0.0667,0,0.35082,0.28415,-0.10125,0.9999,0.35288,0.27488,-0.09357,0.9998,0.35247,0.27415,-0.09355,0.9998,0.35192,0.27326,-0.0935,0.9998,0.35249,0.27366,-0.11558,0.9999,0.35186,0.27222,-0.11563,0.9999,0.35102,0.27048,-0.11568,0.9999,0.34385,0.26484,-0.04493,0.9995,0.34224,0.26157,-0.14688,0.9999,0.34484,0.28957,-0.08024,0.9998,0.34412,0.28779,-0.10996,1.0,0.32606,0.30208,0.01922,0.9999,0.30672,0.2758,-0.16336,1.0,0.31978,0.36226,0.05891,0.6285,0.25901,0.30834,-0.2055,0.9989,0.33416,0.41517,0.01097,0.8707,0.27876,0.37694,-0.22967,0.9969,0.33811,0.43193,0.00639,0.8273,0.28034,0.39536,-0.24955,0.9923,0.33862,0.43115,-0.01282,0.8439,0.28555,0.39446,-0.24702,0.992,0.33671,0.42573,0.00124,0.8243,0.28596,0.3892,-0.22755,0.9835,0.30166,0.43206,0.06378,0.9989,0.28811,0.4278,-0.06375,0.9998,0.31662,0.51641,0.11735,0.8254,0.3074,0.52317,-0.10141,0.9966,0.30268,0.60724,0.202,0.8888,0.28211,0.63367,-0.07825,0.9959,0.29577,0.61918,0.20698,0.8642,0.27244,0.65214,-0.08025,0.9768,0.32762,0.62779,0.1773,0.9463,0.30547,0.66631,-0.14425,0.9952,left
2,0.1333,0,0.34872,0.28159,-0.11121,0.9999,0.35106,0.27285,-0.10403,0.9998,0.35058,0.2721,-0.104,0.9998,0.35,0.27122,-0.10396,0.9998,0.3506,0.27142,-0.12586,0.9999,0.34986,0.26979,-0.12591,0.9999,0.34904,0.26799,-0.12596,0.9999,0.3424,0.26271,-0.0568,0.9994,0.34106,0.25928,-0.1581,0.9999,0.34275,0.28673,-0.09057,0.9998,0.34188,0.28489,-0.1201,1.0,0.32601,0.29744,0.00838,0.9999,0.30311,0.27421,-0.17216,1.0,0.32025,0.36108,0.05349,0.539,0.25778,0.31317,-0.20501,0.999,0.33403,0.41123,0.00942,0.844,0.27898,0.3812,-0.21941,0.9973,0.33924,0.42778,0.005,0.8009,0.28103,0.40036,-0.23864,0.9933,0.34022,0.42696,-0.01424,0.819,0.28589,0.39798,-0.23634,0.9931,0.338,0.42197,-0.0001,0.7965,0.28592,0.39316,-0.21719,0.9856,0.3042,0.42941,0.06327,0.9991,0.28917,0.42858,-0.06328,0.9998,0.31874,0.51842,0.12892,0.8021,0.31,0.52342,-0.06405,0.9955,0.30602,0.60495,0.22417,0.8929,0.28868,0.62903,-0.01926,0.9944,0.29906,0.61674,0.2306,0.8682,0.28017,0.64621,-0.0186,0.969,0.33072,0.62642,0.20224,0.9474,0.31269,0.66387,-0.07656,0.9929,left
3,0.2,0,0.34807,0.27913,-0.10697,0.9998,0.35031,0.27029,-0.09936,0.9995,0.34991,0.26964,-0.09934,0.9994,0.34938,0.26875,-0.09931,0.9994,0.34971,0.26871,-0.12042,0.9997,0.34887,0.26691,-0.12046,0.9997,0.34784,0.26492,-0.12051,0.9997,0.34185,0.2609,-0.05212,0.9982,0.33975,0.2566,-0.14988,0.9997,0.34218,0.28468,-0.08666,0.9996,0.34122,0.28248,-0.11514,0.9999,0.32772,0.30016,0.01048,0.9998,0.29885,0.2725,-0.16501,1.0,0.3231,0.3704,0.05417,0.4714,0.26069,0.32594,-0.18905,0.9989,0.34094,0.41741,0.01167,0.7918,0.27989,0.39612,-0.19676,0.9967,0.34733,0.42912,0.00768,0.7445,0.28405,0.41566,-0.21486,0.9915,0.34908,0.42812,-0.01154,0.7676,0.28865,0.41183,-0.21408,0.9913,0.34716,0.42509,0.00201,0.7415,0.28833,0.40605,-0.19519,0.9824,0.30798,0.42845,0.05893,0.9984,0.28832,0.42399,-0.05891,0.9994,0.31853,0.51569,0.09751,0.7364,0.31094,0.52069,-0.07928,0.9871,0.30675,0.60356,0.17653,0.8283,0.29208,0.6228,-0.02552,0.9813,0.29925,0.61646,0.18111,0.8042,0.28494,0.63783,-0.02363,0.9198,0.32886,0.6284,0.1486,0.9035,0.31063,0.6588,-0.08084,0.9804,left
4,0.2667,0,0.3464,0.28048,-0.1054,0.9999,0.34889,0.27102,-0.09779,0.9996,0.34848,0.27044,-0.09777,0.9996,0.34795,0.26963,-0.09774,0.9996,0.34829,0.26923,-0.11777,0.9998,0.34745,0.26756,-0.11781,0.9998,0.34644,0.26552,-0.11786,0.9998,0.34035,0.2618,-0.05087,0.9986,0.33765,0.25676,-0.14392,0.9998,0.34073,0.28546,-0.08541,0.9997,0.33947,0.28333,-0.11252,0.9999,0.3281,0.30353,0.00995,0.9999,0.29693,0.2735,-0.15734,1.0,0.32521,0.37629,0.05513,0.5859,0.26071,0.33267,-0.18333,0.9989,0.34764,0.41886,0.01513,0.8688,0.28282,0.39864,-0.19704,0.997,0.35553,0.42832,0.01162,0.8273,0.28739,0.41863,-0.21459,0.9922,0.35769,0.42726,-0.00767,0.847,0.29338,0.41261,-0.21398,0.992,0.35491,0.42466,0.00549,0.827,0.29263,0.4074,-0.1956,0.984,0.30949,0.4291,0.05643,0.9982,0.28929,0.42317,-0.0564,0.9993,0.3183,0.51829,0.0807,0.7082,0.31198,0.5215,-0.09032,0.9842,0.30828,0.60231,0.1556,0.7982,0.29428,0.62455,-0.04397,0.9759,0.30239,0.61619,0.15971,0.7825,0.28671,0.64045,-0.04284,0.9072,0.33004,0.62884,0.12581,0.8836,0.3111,0.65762,-0.10191,0.9751,left
5,0.3333,0,0.34598,0.28001,-0.12139,0.9999,0.34823,0.27069,-0.11371,0.9996,0.34784,0.27014,-0.11369,0.9996,0.34732,0.26938,-0.11365,0.9995,0.34734,0.26886,-0.13366,0.9998,0.34637,0.26713,-0.1337,0.9998,0.34522,0.26518,-0.13374,0.9998,0.3394,0.26233,-0.06458,0.9987,0.33627,0.25698,-0.1577,0.9998,0.3404,0.28517,-0.10048,0.9997,0.33899,0.28318,-0.12762,0.9999,0.32904,0.30505,-0.00208,0.9998,0.29544,0.27632,-0.16783,1.0,0.32925,0.3775,0.04337,0.6434,0.25816,0.33272,-0.2025,0.9986,0.35243,0.42335,0.0037,0.8725,0.28848,0.39393,-0.22445,0.9958,0.36,0.43518,-0.00021,0.826,0.29424,0.41176,-0.24277,0.9893,0.36217,0.43274,-0.01923,0.8466,0.30001,0.40604,-0.24164,0.989,0.35945,0.42954,-0.00592,0.8295,0.29904,0.40154,-0.22292,0.9779,0.31221,0.4283,0.05587,0.9975,0.29132,0.42392,-0.05586,0.9994,0.32237,0.51665,0.10244,0.7293,0.31062,0.52215,-0.09012,0.9843,0.30766,0.60004,0.18767,0.8061,0.29167,0.62546,-0.05458,0.9798,0.29964,0.61229,0.19297,0.7757,0.284,0.64197,-0.05492,0.9168,0.32911,0.62493,0.15953,0.889,0.3074,0.66213,-0.11917,0.9781,left
6,0.4,0,0.34415,0.28055,-0.12577,0.9998,0.34633,0.27185,-0.11772,0.9995,0.34598,0.27146,-0.11769,0.9995,0.34551,0.2708,-0.11766,0.9994,0.34536,0.27012,-0.13791,0.9997,0.34444,0.2685,-0.13794,0.9997,0.34334,0.2665,-0.13799,0.9997,0.33795,0.26339,-0.06418,0.9982,0.33417,0.25742,-0.15809,0.9997,0.33875,0.28576,-0.10303,0.9996,0.33718,0.28386,-0.13036,0.9999,0.32989,0.30477,0.00439,0.9999,0.29337,0.2768,-0.16615,1.0,0.33263,0.37679,0.05175,0.7097,0.25938,0.33206,-0.192,0.9988,0.3538,0.42271,0.0024,0.893,0.29078,0.39113,-0.21318,0.9966,0.36065,0.43704,-0.004,0.8478,0.29666,0.40836,-0.23192,0.9912,0.36197,0.43604,-0.02444,0.8677,0.30229,0.40181,-0.23269,0.9909,0.35938,0.43201,-0.00802,0.8526,0.30132,0.39696,-0.21219,0.9813,0.31512,0.42939,0.05838,0.9971,0.29314,0.42593,-0.05836,0.9993,0.32321,0.52079,0.09629,0.7064,0.31029,0.52447,-0.0969,0.977,0.3064,0.60511,0.18654,0.7974,0.28809,0.63015,-0.05794,0.9748,0.29802,0.61802,0.19216,0.7954,0.27969,0.64772,-0.05802,0.9041,0.32998,0.62925,0.15598,0.8802,0.30754,0.66727,-0.12517,0.9728,left
7,0.4667,0,0.34477,0.27872,-0.12835,0.9998,0.34669,0.2697,-0.12065,0.9993,0.34637,0.26941,-0.12062,0.9993,0.34589,0.26889,-0.12059,0.9993,0.34553,0.26796,-0.14046,0.9996,0.34442,0.26636,-0.1405,0.9996,0.34314,0.26441,-0.14055,0.9996,0.33792,0.26271,-0.06802,0.9977,0.33375,0.25684,-0.16036,0.9996,0.33943,0.28497,-0.10596,0.9995,0.33771,0.28291,-0.13283,0.9999,0.33073,0.30601,-0.00038,0.9998,0.29252,0.27696,-0.16729,1.0,0.33557,0.37666,0.04798,0.6712,0.26277,0.33726,-0.18356,0.9983,0.35676,0.42625,0.00247,0.8575,0.29122,0.40001,-0.19488,0.9952,0.36231,0.4394,-0.00349,0.7938,0.29544,0.42271,-0.21235,0.9877,0.36374,0.43912,-0.02388,0.8191,0.30192,0.41715,-0.21429,0.9875,0.36121,0.43501,-0.00772,0.8022,0.30096,0.41135,-0.19421,0.9751,0.31726,0.42938,0.05609,0.9976,0.2942,0.42659,-0.05609,0.9993,0.32469,0.51962,0.11266,0.7013,0.3095,0.52498,-0.0609,0.9757,0.30688,0.60265,0.20722,0.8228,0.28916,0.62401,-0.00695,0.9745,0.29916,0.61515,0.21357,0.8123,0.2827,0.63934,-0.0053,0.8874,0.32817,0.62921,0.17723,0.8982,0.30632,0.6622,-0.06883,0.9723,left
8,0.5333,0,0.34437,0.2769,-0.11703,0.9998,0.34615,0.26837,-0.10935,0.9995,0.34582,0.26815,-0.10932,0.9994,0.34539,0.26772,-0.10929,0.9994,0.34491,0.2665,-0.12872,0.9997,0.34384,0.26497,-0.12875,0.9997,0.34251,0.26305,-0.1288,0.9997,0.33767,0.26176,-0.05779,0.9982,0.3332,0.25559,-0.14778,0.9997,0.3392,0.28355,-0.09512,0.9996,0.33748,0.28132,-0.12131,0.9999,0.33123,0.30818,0.00746,0.9998,0.29334,0.2776,-0.15558,1.0,0.33655,0.37736,0.0559,0.7176,0.26507,0.34009,-0.17143,0.9987,0.35819,0.42853,0.01489,0.8974,0.28693,0.40538,-0.1844,0.9963,0.36458,0.44151,0.01045,0.8419,0.28806,0.43108,-0.20062,0.9901,0.36594,0.44091,-0.01017,0.8636,0.29375,0.42796,-0.20378,0.99,0.36321,0.43744,0.00469,0.8514,0.29462,0.42016,-0.18431,0.9808,0.31857,0.43056,0.05428,0.9977,0.29501,0.42926,-0.05426,0.9991,0.32453,0.52245,0.09272,0.6684,0.3108,0.52562,-0.06385,0.9714,0.30552,0.6063,0.17004,0.7625,0.29015,0.62434,-0.01773,0.9669,0.29749,0.61998,0.17459,0.7617,0.28314,0.64139,-0.01699,0.8787,0.32597,0.62972,0.13793,0.867,0.30588,0.66004,-0.07918,0.9671,left
9,0.6,0,0.34561,0.27444,-0.09591,0.9998,0.34675,0.26545,-0.08789,0.9994,0.34633,0.26513,-0.08787,0.9994,0.34582,0.26467,-0.08785,0.9994,0.34577,0.26368,-0.1077,0.9996,0.34476,0.26222,-0.10772,0.9997,0.34356,0.26054,-0.10776,0.9996,0.33791,0.2603,-0.03815,0.9983,0.33436,0.25492,-0.12989,0.9996,0.34033,0.28099,-0.07491,0.9996,0.33893,0.27896,-0.10161,0.9999,0.33063,0.30657,0.02287,0.9998,0.2946,0.27752,-0.14283,1.0,0.33576,0.37638,0.06871,0.6765,0.26383,0.33542,-0.16079,0.9987,0.35756,0.42575,0.02896,0.8933,0.28223,0.40118,-0.17168,0.9962,0.36349,0.43882,0.02532,0.8384,0.28262,0.42484,-0.18711,0.9898,0.36468,0.43847,0.00482,0.8605,0.2883,0.42458,-0.18935,0.9896,0.36235,0.43478,0.01879,0.8488,0.28959,0.41674,-0.17139,0.9803,0.31943,0.42996,0.054,0.9977,0.29602,0.4271,-0.05396,0.9991,0.32514,0.5228,0.08701,0.7202,0.30924,0.52522,-0.06417,0.975,0.30517,0.6066,0.15955,0.7878,0.29052,0.62484,-0.02227,0.9738,0.29775,0.6196,0.16371,0.7866,0.28402,0.64074,-0.02191,0.8955,0.32697,0.63015,0.12784,0.882,0.30637,0.66159,-0.0835,0.9735,left
