frame,timestamp_sec,person_id,nose_x,nose_y,nose_z,nose_vis,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_vis,left_eye_x,left_eye_y,left_eye_z,left_eye_vis,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_vis,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_vis,right_eye_x,right_eye_y,right_eye_z,right_eye_vis,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_vis,left_ear_x,left_ear_y,left_ear_z,left_ear_vis,right_ear_x,right_ear_y,right_ear_z,right_ear_vis,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_vis,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_vis,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_vis,left_index_x,left_index_y,left_index_z,left_index_vis,right_index_x,right_index_y,right_index_z,right_index_vis,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_vis,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis,side
0,0.0,1,0.94835,0.44201,-0.14942,0.9946,0.96652,0.43646,-0.15656,0.9901,0.96988,0.43955,-0.15655,0.9903,0.97416,0.44328,-0.15656,0.9919,0.96054,0.42936,-0.13821,0.9904,0.96072,0.42794,-0.13829,0.9911,0.961,0.42647,-0.13838,0.9935,0.98157,0.4587,-0.15231,0.9896,0.97046,0.44148,-0.07015,0.9917,0.95268,0.46728,-0.14508,0.9953,0.94651,0.45846,-0.1215,0.9915,0.98728,0.55703,-0.18622,0.9988,0.93287,0.49744,0.01443,0.9988,0.94621,0.65794,-0.20957,0.9563,0.9,0.57236,0.09859,0.1368,0.86142,0.62506,-0.17962,0.7705,0.86765,0.61259,0.11488,0.1233,0.84247,0.62986,-0.197,0.7132,0.85424,0.61494,0.11668,0.1371,0.84143,0.61899,-0.18694,0.6998,0.86051,0.61416,0.09846,0.1415,0.84762,0.61737,-0.17367,0.6258,0.8625,0.61386,0.10727,0.1556,0.94433,0.76785,-0.06531,0.9976,0.91133,0.72259,0.06538,0.9977,0.86518,0.804,-0.18932,0.9894,0.82666,0.70959,-0.04256,0.9088,0.87379,0.92338,-0.06778,0.9792,0.81805,0.8303,0.06627,0.9042,0.87229,0.91502,-0.05555,0.8791,0.82665,0.8724,0.07548,0.8727,0.82216,0.95902,-0.10153,0.9651,0.76799,0.86966,0.04689,0.9056,right
1,0.0667,1,0.94695,0.4457,-0.13135,0.9973,0.96169,0.43653,-0.137,0.9961,0.96611,0.43934,-0.13702,0.9961,0.97,0.4421,-0.13706,0.9966,0.95706,0.43242,-0.11854,0.996,0.95759,0.43177,-0.11859,0.996,0.95807,0.43105,-0.11868,0.9969,0.98,0.45876,-0.1276,0.9972,0.96661,0.44557,-0.04334,0.9958,0.95133,0.46753,-0.12537,0.9986,0.94665,0.46043,-0.10112,0.9968,0.98796,0.54886,-0.17209,0.9993,0.93178,0.50187,0.03572,0.9986,0.949,0.65733,-0.21197,0.9537,0.8897,0.58822,0.02657,0.1021,0.86845,0.62185,-0.19254,0.7683,0.8623,0.62296,-0.09278,0.088,0.84603,0.63298,-0.2115,0.7257,0.8454,0.62912,-0.11131,0.1163,0.84401,0.61553,-0.20314,0.7195,0.84545,0.62525,-0.12896,0.119,0.8506,0.61347,-0.18671,0.6592,0.85817,0.61676,-0.10466,0.1355,0.94555,0.7718,-0.06584,0.998,0.90912,0.72926,0.06595,0.9981,0.86533,0.7915,-0.20731,0.9884,0.82791,0.69177,-0.04353,0.8293,0.87556,0.92164,-0.08182,0.9611,0.81839,0.83509,0.05074,0.8401,0.88905,0.93455,-0.06921,0.8423,0.82976,0.87176,0.05857,0.844,0.82545,0.95609,-0.11098,0.9344,0.76968,0.87,0.02627,0.8236,right
2,0.1333,1,0.94559,0.44398,-0.08938,0.9969,0.95986,0.43425,-0.09706,0.9953,0.96311,0.43571,-0.09709,0.9954,0.96639,0.43717,-0.09714,0.9962,0.95502,0.43167,-0.07776,0.9949,0.95553,0.43149,-0.07778,0.995,0.95605,0.43117,-0.07788,0.9963,0.9794,0.45348,-0.09927,0.9967,0.96615,0.44486,-0.0111,0.995,0.95003,0.46488,-0.08781,0.9982,0.9461,0.46142,-0.06232,0.9951,0.99048,0.54891,-0.14723,0.9994,0.9291,0.51101,0.06317,0.9977,0.95054,0.65302,-0.18655,0.9404,0.88873,0.59669,0.06468,0.1071,0.86915,0.62404,-0.17263,0.7963,0.8542,0.62169,-0.03486,0.1149,0.84529,0.63012,-0.19142,0.7595,0.83583,0.63152,-0.05012,0.1427,0.84349,0.61802,-0.18146,0.75,0.83693,0.62143,-0.07034,0.1474,0.85001,0.61529,-0.1664,0.6939,0.84454,0.62099,-0.04756,0.1655,0.94109,0.76737,-0.06756,0.9978,0.90535,0.73135,0.0677,0.9977,0.86382,0.78388,-0.20798,0.9898,0.82413,0.6922,-0.03818,0.8558,0.85221,0.8859,-0.08066,0.9629,0.81953,0.83549,0.05095,0.8411,0.86343,0.91019,-0.0678,0.8601,0.83174,0.87015,0.05849,0.8607,0.81703,0.95526,-0.10496,0.9374,0.76786,0.86951,0.03222,0.8293,right
3,0.2,1,0.94435,0.4433,-0.11388,0.9968,0.95793,0.43261,-0.12213,0.9951,0.96112,0.43427,-0.12213,0.9955,0.96445,0.43603,-0.12217,0.9962,0.95402,0.43006,-0.10086,0.9944,0.95479,0.42981,-0.1009,0.9945,0.9556,0.42947,-0.10099,0.9954,0.97975,0.45253,-0.12373,0.9973,0.96747,0.44254,-0.02661,0.9936,0.94829,0.46418,-0.11191,0.9985,0.94442,0.46017,-0.08396,0.9949,0.99039,0.54196,-0.17091,0.9995,0.93149,0.51122,0.0526,0.9972,0.94877,0.65355,-0.2182,0.9624,0.8952,0.58996,0.03004,0.076,0.86658,0.6246,-0.19593,0.8384,0.86667,0.61161,-0.10572,0.0781,0.84361,0.63516,-0.21547,0.7986,0.84877,0.62482,-0.12638,0.1064,0.84224,0.61903,-0.20648,0.7901,0.85168,0.61143,-0.14196,0.1088,0.84799,0.61627,-0.18933,0.7264,0.86146,0.60807,-0.11749,0.1232,0.94899,0.76349,-0.07138,0.9982,0.91373,0.72477,0.07145,0.9983,0.87036,0.79506,-0.20544,0.9949,0.82829,0.69377,-0.04362,0.8997,0.87731,0.92437,-0.0817,0.9826,0.81507,0.82953,0.05039,0.8976,0.89066,0.93748,-0.06981,0.8816,0.82891,0.86573,0.05811,0.8814,0.82804,0.96372,-0.12123,0.9653,0.76506,0.86533,0.02398,0.8793,right
4,0.2667,1,0.94524,0.44106,-0.09863,0.9958,0.95993,0.4309,-0.10465,0.9931,0.96303,0.43293,-0.10466,0.9925,0.96609,0.43511,-0.10471,0.9936,0.95557,0.42773,-0.08666,0.9934,0.95602,0.42738,-0.08671,0.9937,0.95646,0.427,-0.08683,0.9955,0.97734,0.45272,-0.10136,0.9941,0.96237,0.43976,-0.02055,0.9945,0.9488,0.46326,-0.09547,0.9978,0.94416,0.45867,-0.07216,0.9951,0.98505,0.5513,-0.14317,0.9984,0.92315,0.50858,0.04806,0.9979,0.94884,0.65586,-0.17409,0.9189,0.88429,0.58683,0.04575,0.1601,0.86897,0.62384,-0.16612,0.7111,0.84272,0.6213,-0.0542,0.148,0.84485,0.63395,-0.1847,0.6645,0.83052,0.63074,-0.06947,0.1749,0.84379,0.61847,-0.17528,0.6568,0.83212,0.62203,-0.08898,0.18,0.85086,0.61607,-0.16053,0.6083,0.83893,0.62166,-0.06625,0.196,0.9353,0.76178,-0.06462,0.9979,0.90082,0.71859,0.0647,0.9979,0.85324,0.76212,-0.21514,0.986,0.81303,0.66766,-0.03588,0.8214,0.84164,0.88413,-0.07312,0.9463,0.79032,0.79893,0.05801,0.8007,0.85281,0.89886,-0.0578,0.8689,0.80177,0.82466,0.06628,0.8175,0.80713,0.94057,-0.0852,0.923,0.75428,0.84918,0.04248,0.7924,right
5,0.3333,1,0.9442,0.43783,-0.09826,0.9988,0.95801,0.4298,-0.10441,0.9982,0.96244,0.43288,-0.10441,0.9982,0.9658,0.43566,-0.10444,0.9985,0.95566,0.42687,-0.08591,0.998,0.95653,0.42669,-0.08596,0.9982,0.95545,0.42599,-0.08604,0.9986,0.97707,0.45413,-0.10173,0.9987,0.96452,0.4417,-0.01847,0.9979,0.94642,0.45873,-0.09543,0.9993,0.9425,0.45368,-0.07144,0.9981,0.98456,0.53919,-0.14997,0.9997,0.92673,0.50349,0.05557,0.9985,0.94753,0.6471,-0.18536,0.974,0.89172,0.58205,0.03975,0.1217,0.86795,0.62182,-0.16754,0.8589,0.86016,0.61012,-0.07833,0.1014,0.84513,0.63238,-0.18656,0.8055,0.84449,0.62103,-0.09632,0.1224,0.84474,0.61567,-0.1765,0.7982,0.84534,0.61726,-0.11295,0.1249,0.85147,0.61325,-0.16101,0.7433,0.85093,0.60833,-0.08977,0.1396,0.93676,0.74954,-0.06811,0.9989,0.9035,0.71271,0.06817,0.9987,0.85598,0.76577,-0.20105,0.9939,0.82141,0.68677,-0.02943,0.8634,0.84507,0.88095,-0.0702,0.9807,0.80774,0.81717,0.06761,0.8773,0.85554,0.90246,-0.05695,0.8965,0.81747,0.82919,0.07559,0.8613,0.80651,0.93745,-0.09606,0.9672,0.76483,0.86039,0.04655,0.8691,right
6,0.4,1,0.94155,0.44081,-0.09532,0.9988,0.9538,0.43134,-0.10626,0.9981,0.95646,0.43298,-0.10627,0.9982,0.96148,0.43526,-0.1063,0.9984,0.94997,0.42816,-0.08537,0.9977,0.94859,0.42725,-0.08541,0.9978,0.94863,0.42645,-0.08549,0.9982,0.97439,0.45151,-0.11305,0.9987,0.95977,0.44011,-0.01931,0.998,0.94621,0.46482,-0.0948,0.9994,0.94141,0.45835,-0.06779,0.9978,0.98553,0.54703,-0.15526,0.9997,0.92586,0.50531,0.05409,0.9989,0.94544,0.65557,-0.1829,0.9586,0.88725,0.57566,0.0589,0.1605,0.86792,0.62941,-0.16212,0.8193,0.85177,0.60764,-0.03251,0.1391,0.84452,0.63425,-0.17942,0.7727,0.83772,0.61996,-0.04775,0.163,0.84356,0.62125,-0.17447,0.7696,0.83864,0.61146,-0.06437,0.1679,0.84972,0.61873,-0.15745,0.7232,0.84571,0.6106,-0.04357,0.1865,0.9288,0.76068,-0.07004,0.9993,0.89746,0.7213,0.07007,0.999,0.83722,0.73916,-0.17789,0.9916,0.80977,0.67764,0.00972,0.8511,0.83861,0.87999,-0.06972,0.985,0.7987,0.80338,0.10412,0.844,0.85351,0.90931,-0.05793,0.946,0.80791,0.81608,0.11265,0.8618,0.80174,0.9433,-0.09253,0.9762,0.76181,0.85384,0.09476,0.8409,right
7,0.4667,1,0.94469,0.43769,-0.13012,0.9992,0.95762,0.42877,-0.13701,0.9987,0.96044,0.43099,-0.137,0.9988,0.96328,0.43308,-0.13705,0.999,0.95336,0.42458,-0.1187,0.9985,0.95362,0.42402,-0.11875,0.9985,0.95145,0.42241,-0.11881,0.9988,0.97841,0.45108,-0.12789,0.9993,0.96069,0.43665,-0.04478,0.9985,0.94754,0.46209,-0.12376,0.9996,0.94235,0.4562,-0.09986,0.9988,0.9859,0.53855,-0.16687,0.9999,0.9248,0.49687,0.03493,0.9994,0.94534,0.64937,-0.20414,0.9778,0.88774,0.57048,0.02861,0.1832,0.86584,0.63024,-0.18697,0.8567,0.85608,0.59862,-0.08056,0.1491,0.84348,0.63807,-0.20428,0.801,0.83924,0.61861,-0.09736,0.177,0.84315,0.62265,-0.19666,0.7951,0.8419,0.60722,-0.1122,0.1793,0.84937,0.61986,-0.18103,0.7434,0.84971,0.60607,-0.09099,0.1982,0.92752,0.74298,-0.06757,0.9996,0.89448,0.69883,0.06762,0.9994,0.84475,0.7668,-0.19632,0.9934,0.81057,0.66945,-0.03084,0.9012,0.83877,0.88589,-0.06909,0.9834,0.80231,0.8119,0.07745,0.8894,0.85151,0.909,-0.05613,0.9079,0.81662,0.8299,0.08707,0.8672,0.80234,0.94872,-0.09984,0.9721,0.76092,0.85587,0.06018,0.8791,right
8,0.5333,1,0.94258,0.43634,-0.10649,0.9967,0.9544,0.42783,-0.11473,0.9946,0.95831,0.43113,-0.11477,0.9947,0.96164,0.43328,-0.11483,0.9959,0.95014,0.42429,-0.09681,0.9936,0.9489,0.42337,-0.09684,0.9934,0.94876,0.42264,-0.09692,0.9953,0.97412,0.45048,-0.11189,0.9957,0.95945,0.43834,-0.03085,0.993,0.94666,0.46134,-0.10217,0.9975,0.94213,0.45385,-0.07889,0.9927,0.97891,0.53638,-0.15025,0.9997,0.92184,0.49577,0.04749,0.9986,0.94243,0.64806,-0.16473,0.9505,0.88254,0.57603,0.08384,0.1451,0.86639,0.63257,-0.13943,0.7262,0.85043,0.60601,0.03358,0.1257,0.84662,0.63985,-0.15355,0.6755,0.83708,0.61929,0.02557,0.1446,0.84473,0.62415,-0.14844,0.667,0.83894,0.60813,0.00747,0.1491,0.85265,0.61864,-0.1347,0.6147,0.84543,0.60687,0.02343,0.158,0.90612,0.73325,-0.06597,0.9993,0.87525,0.6771,0.066,0.9988,0.82772,0.73773,-0.16859,0.9819,0.78414,0.68359,-0.0034,0.856,0.83279,0.88242,-0.05247,0.9705,0.79354,0.80042,0.11441,0.8364,0.84457,0.90724,-0.0406,0.8915,0.80134,0.81402,0.125,0.8381,0.79848,0.93831,-0.07538,0.9545,0.76011,0.8497,0.11047,0.8386,right
9,0.6,1,0.94365,0.43317,-0.13704,0.9994,0.95738,0.42702,-0.14298,0.9992,0.96292,0.43206,-0.14299,0.9991,0.96704,0.43605,-0.14304,0.9993,0.95155,0.42032,-0.12502,0.9988,0.9511,0.41911,-0.12503,0.9985,0.95071,0.41507,-0.12508,0.999,0.97743,0.45438,-0.13484,0.9994,0.96092,0.43629,-0.05133,0.9985,0.94631,0.45793,-0.13139,0.9998,0.94004,0.44845,-0.10733,0.9993,0.98203,0.54391,-0.16487,0.9999,0.92473,0.48379,0.02159,0.9996,0.94084,0.64658,-0.19317,0.9846,0.8769,0.56472,0.05792,0.3035,0.86188,0.63108,-0.18468,0.8933,0.84203,0.60804,-0.00578,0.2735,0.84338,0.64064,-0.20304,0.8339,0.82753,0.61709,-0.018,0.2749,0.84117,0.62527,-0.19671,0.828,0.82735,0.61552,-0.03975,0.2768,0.8456,0.62217,-0.17962,0.7858,0.8365,0.61108,-0.0175,0.2969,0.89832,0.71412,-0.06067,0.9999,0.86749,0.66407,0.06069,0.9998,0.82209,0.72843,-0.19952,0.9904,0.77511,0.66399,-0.04256,0.9396,0.8349,0.87855,-0.04567,0.981,0.78725,0.79711,0.0913,0.9227,0.8451,0.89579,-0.03015,0.9082,0.79617,0.81267,0.10372,0.8746,0.79808,0.93098,-0.0704,0.9656,0.75554,0.85415,0.07511,0.8983,right
